camera/right | seq = 54 | latency = 22397 µs
camera/left | seq = 56 | latency = 22919 µs
camera/front | seq = 55 | latency = 19639 µs
camera/rear | seq = 54 | latency = 23048 µs
radar/front | seq = 25 | latency = 19312 µs
camera/left | seq = 57 | latency = 25035 µs
camera/right | seq = 55 | latency = 30413 µs
radar/rear | seq = 25 | latency = 28251 µs
perception/objects | seq = 27 | latency = 273 µs
camera/front | seq = 56 | latency = 30820 µs
lidar/aux | seq = 22 | latency = 52636 µs
camera/rear | seq = 55 | latency = 29687 µs
camera/left | seq = 58 | latency = 28078 µs
camera/right | seq = 56 | latency = 21515 µs
camera/front | seq = 57 | latency = 22768 µs
camera/rear | seq = 56 | latency = 19282 µs
camera/left | seq = 59 | latency = 21889 µs
radar/front | seq = 26 | latency = 23817 µs
camera/front | seq = 58 | latency = 22250 µs
perception/objects | seq = 28 | latency = 269 µs
camera/right | seq = 57 | latency = 27949 µs
radar/rear | seq = 26 | latency = 29076 µs
camera/rear | seq = 57 | latency = 31618 µs
lidar/aux | seq = 23 | latency = 52897 µs
camera/left | seq = 60 | latency = 33069 µs
camera/front | seq = 59 | latency = 26886 µs
camera/right | seq = 58 | latency = 20830 µs
camera/left | seq = 61 | latency = 19701 µs
camera/rear | seq = 58 | latency = 25655 µs
radar/front | seq = 27 | latency = 23085 µs
perception/objects | seq = 29 | latency = 267 µs
camera/front | seq = 60 | latency = 21324 µs
camera/right | seq = 59 | latency = 26154 µs
camera/rear | seq = 59 | latency = 16966 µs
camera/front | seq = 61 | latency = 18659 µs
camera/right | seq = 60 | latency = 21469 µs
lidar/aux | seq = 24 | latency = 54202 µs
camera/left | seq = 63 | latency = 27310 µs
camera/rear | seq = 60 | latency = 16513 µs
radar/front | seq = 28 | latency = 16114 µs
camera/right | seq = 61 | latency = 20666 µs
camera/left | seq = 64 | latency = 17747 µs
perception/objects | seq = 30 | latency = 258 µs
radar/rear | seq = 28 | latency = 11603 µs
camera/rear | seq = 61 | latency = 17634 µs
camera/right | seq = 62 | latency = 20587 µs
camera/front | seq = 63 | latency = 26235 µs
camera/left | seq = 65 | latency = 23900 µs
camera/rear | seq = 62 | latency = 18974 µs
camera/right | seq = 63 | latency = 23766 µs
lidar/aux | seq = 25 | latency = 52728 µs
camera/front | seq = 64 | latency = 22441 µs
radar/front | seq = 29 | latency = 23917 µs
camera/rear | seq = 63 | latency = 15654 µs
perception/objects | seq = 31 | latency = 270 µs
camera/right | seq = 64 | latency = 16494 µs
radar/rear | seq = 29 | latency = 15867 µs
camera/front | seq = 65 | latency = 22284 µs
camera/left | seq = 67 | latency = 26998 µs
camera/rear | seq = 64 | latency = 23198 µs
camera/right | seq = 65 | latency = 21831 µs
camera/front | seq = 66 | latency = 20965 µs
camera/left | seq = 68 | latency = 25861 µs
radar/front | seq = 30 | latency = 24996 µs
lidar/aux | seq = 26 | latency = 52855 µs
camera/rear | seq = 65 | latency = 29419 µs
perception/objects | seq = 32 | latency = 258 µs
camera/right | seq = 66 | latency = 27613 µs
camera/front | seq = 67 | latency = 25426 µs
radar/rear | seq = 30 | latency = 20848 µs
camera/left | seq = 69 | latency = 24164 µs
camera/right | seq = 67 | latency = 22062 µs
camera/rear | seq = 66 | latency = 27164 µs
camera/front | seq = 68 | latency = 23514 µs
camera/left | seq = 70 | latency = 23014 µs
radar/front | seq = 31 | latency = 23216 µs
perception/objects | seq = 33 | latency = 264 µs
camera/right | seq = 68 | latency = 28100 µs
lidar/aux | seq = 27 | latency = 52942 µs
camera/rear | seq = 67 | latency = 24295 µs
camera/front | seq = 69 | latency = 26182 µs
camera/left | seq = 71 | latency = 25292 µs
radar/rear | seq = 31 | latency = 22424 µs
camera/rear | seq = 68 | latency = 21718 µs
camera/right | seq = 69 | latency = 26093 µs
camera/front | seq = 70 | latency = 20382 µs
camera/left | seq = 72 | latency = 21657 µs
radar/front | seq = 32 | latency = 24744 µs
perception/objects | seq = 34 | latency = 286 µs
camera/rear | seq = 69 | latency = 24508 µs
camera/right | seq = 70 | latency = 29571 µs
camera/front | seq = 71 | latency = 25893 µs
lidar/aux | seq = 28 | latency = 53284 µs
camera/rear | seq = 70 | latency = 20860 µs
radar/rear | seq = 32 | latency = 19416 µs
camera/right | seq = 71 | latency = 19928 µs
camera/front | seq = 72 | latency = 19590 µs
radar/front | seq = 33 | latency = 13507 µs
camera/right | seq = 72 | latency = 15108 µs
camera/front | seq = 73 | latency = 12292 µs
perception/objects | seq = 35 | latency = 260 µs
camera/left | seq = 75 | latency = 17080 µs
camera/rear | seq = 72 | latency = 22250 µs
camera/right | seq = 73 | latency = 19625 µs
radar/rear | seq = 33 | latency = 15972 µs
camera/front | seq = 74 | latency = 19651 µs
camera/rear | seq = 73 | latency = 24198 µs
lidar/aux | seq = 29 | latency = 54568 µs
camera/left | seq = 76 | latency = 28705 µs
camera/right | seq = 74 | latency = 23911 µs
radar/front | seq = 34 | latency = 20436 µs
camera/front | seq = 75 | latency = 20178 µs
perception/objects | seq = 36 | latency = 267 µs
camera/rear | seq = 74 | latency = 25821 µs
camera/left | seq = 77 | latency = 25829 µs
camera/right | seq = 75 | latency = 21760 µs
radar/rear | seq = 34 | latency = 16768 µs
camera/front | seq = 76 | latency = 20061 µs
camera/rear | seq = 75 | latency = 25611 µs
camera/left | seq = 78 | latency = 26106 µs
camera/right | seq = 76 | latency = 29854 µs
lidar/aux | seq = 30 | latency = 52941 µs
radar/front | seq = 35 | latency = 22219 µs
camera/rear | seq = 76 | latency = 24107 µs
perception/objects | seq = 37 | latency = 282 µs
camera/left | seq = 79 | latency = 13445 µs
camera/right | seq = 77 | latency = 17787 µs
camera/rear | seq = 77 | latency = 21775 µs
camera/front | seq = 78 | latency = 21211 µs
radar/rear | seq = 35 | latency = 21105 µs
camera/left | seq = 80 | latency = 21533 µs
camera/right | seq = 78 | latency = 22440 µs
camera/rear | seq = 78 | latency = 25046 µs
camera/front | seq = 79 | latency = 30555 µs
perception/objects | seq = 38 | latency = 258 µs
radar/front | seq = 36 | latency = 27169 µs
lidar/aux | seq = 31 | latency = 53092 µs
camera/left | seq = 81 | latency = 28603 µs
camera/right | seq = 79 | latency = 29463 µs
radar/rear | seq = 36 | latency = 12820 µs
