camera/rear | seq = 106 | latency = 18076 µs
radar/rear | seq = 46 | latency = 16336 µs
lidar/main | seq = 40 | latency = 45722 µs
camera/right | seq = 105 | latency = 21133 µs
camera/front | seq = 106 | latency = 25091 µs
camera/left | seq = 108 | latency = 28657 µs
camera/rear | seq = 107 | latency = 21592 µs
radar/front | seq = 47 | latency = 21381 µs
camera/right | seq = 106 | latency = 26530 µs
perception/objects | seq = 49 | latency = 2245 µs
camera/left | seq = 109 | latency = 23588 µs
camera/front | seq = 107 | latency = 23644 µs
camera/rear | seq = 108 | latency = 22277 µs
camera/left | seq = 110 | latency = 14519 µs
camera/right | seq = 107 | latency = 17858 µs
radar/rear | seq = 47 | latency = 17876 µs
camera/front | seq = 108 | latency = 12497 µs
camera/rear | seq = 109 | latency = 16793 µs
camera/left | seq = 111 | latency = 15561 µs
radar/front | seq = 48 | latency = 17711 µs
camera/right | seq = 108 | latency = 16360 µs
perception/objects | seq = 50 | latency = 2007 µs
camera/front | seq = 109 | latency = 20917 µs
camera/rear | seq = 110 | latency = 20681 µs
camera/left | seq = 112 | latency = 19822 µs
lidar/aux | seq = 41 | latency = 45756 µs
camera/right | seq = 109 | latency = 15247 µs
camera/front | seq = 110 | latency = 17984 µs
camera/rear | seq = 111 | latency = 18258 µs
camera/left | seq = 113 | latency = 13566 µs
camera/right | seq = 110 | latency = 14392 µs
radar/front | seq = 49 | latency = 14382 µs
camera/rear | seq = 112 | latency = 19832 µs
camera/front | seq = 111 | latency = 24654 µs
perception/objects | seq = 51 | latency = 2177 µs
camera/left | seq = 114 | latency = 17355 µs
camera/right | seq = 111 | latency = 22436 µs
camera/rear | seq = 113 | latency = 23032 µs
lidar/aux | seq = 42 | latency = 46006 µs
camera/front | seq = 112 | latency = 19471 µs
camera/right | seq = 112 | latency = 20844 µs
radar/rear | seq = 49 | latency = 23218 µs
camera/left | seq = 115 | latency = 25754 µs
camera/rear | seq = 114 | latency = 30230 µs
camera/front | seq = 113 | latency = 26390 µs
radar/front | seq = 50 | latency = 25385 µs
perception/objects | seq = 52 | latency = 2219 µs
camera/right | seq = 113 | latency = 27193 µs
camera/rear | seq = 115 | latency = 19796 µs
camera/left | seq = 116 | latency = 21204 µs
camera/front | seq = 114 | latency = 19427 µs
camera/rear | seq = 116 | latency = 14584 µs
