lidar/aux | seq = 46 | latency = 48082 µs
camera/right | seq = 115 | latency = 28297 µs
camera/rear | seq = 115 | latency = 30331 µs
camera/front | seq = 114 | latency = 32360 µs
camera/left | seq = 117 | latency = 26633 µs
radar/front | seq = 51 | latency = 22260 µs
camera/rear | seq = 116 | latency = 25398 µs
camera/right | seq = 116 | latency = 29235 µs
perception/objects | seq = 53 | latency = 3836 µs
camera/front | seq = 115 | latency = 24026 µs
camera/left | seq = 118 | latency = 26504 µs
camera/rear | seq = 117 | latency = 18432 µs
radar/rear | seq = 51 | latency = 18749 µs
camera/right | seq = 117 | latency = 17827 µs
camera/front | seq = 116 | latency = 15867 µs
camera/left | seq = 119 | latency = 19418 µs
