Topic name,Criticality,Module it will send to,Frequency (Hz),Byte,Byterate
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/crosswalk/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/detection_area,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/detection_area/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/intersection,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/intersection/decision_state,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/intersection/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/intersection_traffic_signal,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/merge_from_private,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/merge_from_private/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/no_stopping_area,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/no_stopping_area/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/path,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/processing_time_detail_ms/blind_spot,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
