planning/planning_factors/start_planner,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_factors/static_obstacle_avoidance,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_factors/stop_line,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_factors/traffic_light,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_factors/virtual_traffic_light,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_factors/walkway,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_validator/debug/marker,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_validator/debug/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_validator/output/markers,Less-Critical,Vehicle/System,0,0.1K,0
planning/planning_validator/validation_status,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_validator/virtual_wall,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/external_velocity_limit_selector/debug,Less-Critical,Vehicle/System,0,0.1K,0
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/avoidance_by_lane_change,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/avoidance_by_lane_change/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/avoidance_debug_message_array,Less-Critical,Vehicle/System,0,0.1K,0
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/bound,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/goal_planner,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/goal_planner/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/internal_state,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/lane_change_left,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/lane_change_left/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/lane_change_right,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/lane_change_right/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/root_reference_path,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/side_shift,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/side_shift/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/start_planner,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/start_planner/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/static_obstacle_avoidance,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/static_obstacle_avoidance/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/total_time/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/turn_signal_info,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/info/avoidance_by_lane_change,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/info/goal_planner,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/info/lane_change_left,Less-Critical,Vehicle/System,10,0.1K,1KB/s
