planning/debug/objects_of_interest/intersection,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/debug/objects_of_interest/lane_change_left,Vehicle/System,Less-Critical,0,0.1K,0
planning/debug/objects_of_interest/lane_change_right,Vehicle/System,Less-Critical,0,0.1K,0
planning/debug/objects_of_interest/no_stopping_area,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/debug/objects_of_interest/obstacle_cruise,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/debug/objects_of_interest/obstacle_slow_down,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/debug/objects_of_interest/obstacle_stop,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/debug/objects_of_interest/start_planner,Vehicle/System,Less-Critical,0,0.1K,0
planning/debug/objects_of_interest/static_obstacle_avoidance_left,Vehicle/System,Less-Critical,0,0.1K,0
planning/debug/objects_of_interest/static_obstacle_avoidance_right,Vehicle/System,Less-Critical,0,0.1K,0
planning/debug/objects_of_interest/traffic_light,Vehicle/System,Less-Critical,10,0.1K,0.1KB/s
planning/hazard_lights_cmd,Vehicle/System,Critical,10,0.01K,0.1KB/s
planning/mission_planning/mission_planner/debug/goal_footprint,Vehicle/System,Less-Critical,1,0.1K,0.1KB/s
planning/mission_planning/mission_planner/debug/processing_time_ms,Vehicle/System,Less-Critical,0,0.1K,0
planning/mission_planning/route_selector/debug/processing_time_ms,Vehicle/System,Less-Critical,0,0.1K,0
planning/planning_evaluator/debug/processing_time_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
planning/planning_evaluator/metrics,Vehicle/System,Less-Critical,10,3.5K,35KB/s
planning/planning_factors/avoidance_by_lane_change,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
planning/planning_factors/behavior_path_planner,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
planning/planning_factors/blind_spot,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
planning/planning_factors/crosswalk,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
planning/planning_factors/detection_area,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
planning/planning_factors/dynamic_obstacle_stop,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
planning/planning_factors/goal_planner,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
planning/planning_factors/intersection,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
planning/planning_factors/lane_change_left,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
planning/planning_factors/lane_change_right,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
planning/planning_factors/no_stopping_area,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
planning/planning_factors/obstacle_cruise,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
planning/planning_factors/obstacle_slow_down,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
planning/planning_factors/obstacle_stop,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
planning/planning_factors/out_of_lane,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
planning/planning_factors/run_out,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
planning/planning_factors/side_shift,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
planning/planning_factors/start_planner,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
planning/planning_factors/static_obstacle_avoidance,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
planning/planning_factors/stop_line,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
planning/planning_factors/traffic_light,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
planning/planning_factors/virtual_traffic_light,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
planning/planning_factors/walkway,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
planning/planning_validator/debug/marker,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
planning/planning_validator/debug/processing_time_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
planning/planning_validator/output/markers,Vehicle/System,Less-Critical,0,0.1K,0
planning/planning_validator/validation_status,Vehicle/System,Less-Critical,10,0.2K,2KB/s
planning/planning_validator/virtual_wall,Vehicle/System,Less-Critical,10,0.2K,2KB/s
planning/scenario_planning/external_velocity_limit_selector/debug,Vehicle/System,Less-Critical,0,0.1K,0
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/avoidance_by_lane_change,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/avoidance_by_lane_change/processing_time_ms,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/avoidance_debug_message_array,Vehicle/System,Less-Critical,0,0.1K,0
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/bound,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/goal_planner,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/goal_planner/processing_time_ms,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/internal_state,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/lane_change_left,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/lane_change_left/processing_time_ms,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/lane_change_right,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
