camera/left | seq = 51 | latency = 26716 µs
camera/front | seq = 54 | latency = 27342 µs
perception/objects | seq = 27 | latency = 208 µs
lidar/main | seq = 24 | latency = 44276 µs
camera/rear | seq = 53 | latency = 31183 µs
radar/front | seq = 25 | latency = 28158 µs
camera/right | seq = 54 | latency = 29836 µs
camera/left | seq = 52 | latency = 31955 µs
camera/front | seq = 55 | latency = 30682 µs
camera/right | seq = 55 | latency = 15793 µs
camera/front | seq = 56 | latency = 16217 µs
camera/left | seq = 53 | latency = 19751 µs
perception/objects | seq = 28 | latency = 1042 µs
camera/rear | seq = 55 | latency = 26463 µs
radar/front | seq = 26 | latency = 22865 µs
lidar/main | seq = 25 | latency = 43937 µs
camera/right | seq = 56 | latency = 23515 µs
camera/front | seq = 57 | latency = 23536 µs
camera/left | seq = 54 | latency = 25431 µs
camera/front | seq = 58 | latency = 8671 µs
camera/left | seq = 55 | latency = 12338 µs
camera/rear | seq = 57 | latency = 19528 µs
camera/right | seq = 58 | latency = 22959 µs
perception/objects | seq = 29 | latency = 669 µs
radar/front | seq = 27 | latency = 18350 µs
lidar/main | seq = 26 | latency = 44880 µs
camera/front | seq = 59 | latency = 19586 µs
camera/rear | seq = 58 | latency = 23025 µs
camera/left | seq = 56 | latency = 25738 µs
camera/right | seq = 59 | latency = 29850 µs
camera/front | seq = 60 | latency = 21613 µs
radar/rear | seq = 27 | latency = 24735 µs
camera/rear | seq = 59 | latency = 30169 µs
camera/left | seq = 57 | latency = 27104 µs
perception/objects | seq = 30 | latency = 228 µs
camera/right | seq = 60 | latency = 27403 µs
lidar/main | seq = 27 | latency = 43055 µs
camera/front | seq = 61 | latency = 30060 µs
camera/rear | seq = 60 | latency = 31895 µs
camera/front | seq = 62 | latency = 9951 µs
camera/rear | seq = 61 | latency = 13808 µs
camera/left | seq = 59 | latency = 19871 µs
radar/rear | seq = 28 | latency = 22628 µs
camera/right | seq = 62 | latency = 22692 µs
camera/front | seq = 63 | latency = 18505 µs
perception/objects | seq = 31 | latency = 364 µs
camera/rear | seq = 62 | latency = 23730 µs
camera/left | seq = 60 | latency = 28462 µs
lidar/main | seq = 28 | latency = 44850 µs
camera/right | seq = 63 | latency = 27359 µs
radar/front | seq = 29 | latency = 25203 µs
camera/front | seq = 64 | latency = 23160 µs
camera/rear | seq = 63 | latency = 27398 µs
camera/left | seq = 61 | latency = 26312 µs
camera/right | seq = 64 | latency = 32352 µs
perception/objects | seq = 32 | latency = 944 µs
camera/rear | seq = 64 | latency = 23440 µs
lidar/main | seq = 29 | latency = 43240 µs
camera/left | seq = 62 | latency = 24812 µs
camera/right | seq = 65 | latency = 26602 µs
camera/front | seq = 66 | latency = 20776 µs
camera/rear | seq = 65 | latency = 27486 µs
radar/front | seq = 30 | latency = 27201 µs
camera/left | seq = 63 | latency = 31292 µs
camera/right | seq = 66 | latency = 27732 µs
perception/objects | seq = 33 | latency = 622 µs
camera/front | seq = 67 | latency = 31581 µs
camera/left | seq = 64 | latency = 22309 µs
lidar/main | seq = 30 | latency = 44704 µs
camera/front | seq = 68 | latency = 20723 µs
camera/right | seq = 67 | latency = 24157 µs
camera/rear | seq = 67 | latency = 20783 µs
camera/left | seq = 65 | latency = 23583 µs
radar/front | seq = 31 | latency = 23235 µs
camera/front | seq = 69 | latency = 28462 µs
camera/rear | seq = 68 | latency = 25293 µs
perception/objects | seq = 34 | latency = 904 µs
camera/right | seq = 68 | latency = 30886 µs
camera/left | seq = 66 | latency = 28996 µs
radar/rear | seq = 31 | latency = 31218 µs
lidar/main | seq = 31 | latency = 44811 µs
camera/front | seq = 70 | latency = 29322 µs
camera/rear | seq = 69 | latency = 30874 µs
camera/left | seq = 67 | latency = 18952 µs
radar/front | seq = 32 | latency = 17530 µs
camera/rear | seq = 70 | latency = 19681 µs
camera/front | seq = 71 | latency = 26313 µs
perception/objects | seq = 35 | latency = 819 µs
camera/right | seq = 70 | latency = 29822 µs
camera/left | seq = 68 | latency = 26998 µs
lidar/main | seq = 32 | latency = 43978 µs
camera/front | seq = 72 | latency = 20060 µs
camera/right | seq = 71 | latency = 20914 µs
camera/left | seq = 69 | latency = 24289 µs
camera/rear | seq = 72 | latency = 21046 µs
camera/front | seq = 73 | latency = 24640 µs
radar/front | seq = 33 | latency = 25643 µs
